"CategoryI","CategoryI_Duration","CategoryII","CategoryII_Duration","CategoryIII","CategoryIII_Duration","Bounce_Rate","Exit_Rate","Page_Value","SpecialDay","Month","OS","Browser","Region","TrafficType","VisitorType","Weekend","Transaction"
1,34,0,0,11,765.1666667,0,0.006666667,0,0,"May","4","1","4","6","Returning_Visitor","FALSE",0
8,57.83333333,1,3,115,8388.316083,0.01252501,0.029541047,0,0.8,"May","3","2","2","6","Returning_Visitor","FALSE",0
3,22.83333333,0,0,115,2625.009524,0,0.004013317,0,0,"Mar","2","5","6","1","Returning_Visitor","FALSE",0
3,29.25,0,0,32,1729.75,0,0.005714286,16.7293697,0,"Dec","2","4","3","2","New_Visitor","FALSE",1
3,215,0,0,53,1481.429167,0.001851852,0.012345679,56.31760103,0,"Nov","1","8","1","11","Returning_Visitor","TRUE",1
0,0,0,0,19,521.925,0.010526316,0.029824561,0,0,"Dec","3","2","6","2","Returning_Visitor","TRUE",0
4,45.83333333,0,0,70,1692.257143,0,0.014555556,0,0,"Nov","2","2","1","2","Returning_Visitor","FALSE",0
0,0,0,0,5,43.5,0.14,0.18,0,0,"Nov","3","3","1","3","Returning_Visitor","FALSE",0
0,0,0,0,3,24,0.066666667,0.133333333,0,0,"Mar","3","2","3","1","Returning_Visitor","TRUE",0
0,0,0,0,8,227,0.025,0.05,0,0,"May","3","2","6","13","Returning_Visitor","FALSE",0
0,0,0,0,55,946.3636364,0.010909091,0.025454545,0,0,"Nov","2","2","6","1","Returning_Visitor","TRUE",0
8,235.1861702,2,138.5,71,2512.51742,0.006349206,0.025572609,0,0,"Nov","3","2","1","2","Returning_Visitor","TRUE",1
0,0,0,0,7,1260.666667,0.057142857,0.107142857,0,0.8,"May","2","4","5","6","Returning_Visitor","FALSE",0
3,75,0,0,3,74,0,0.02,0,0,"May","3","2","1","2","Returning_Visitor","FALSE",0
1,19,0,0,7,115.6666667,0,0.028571429,0,0,"Mar","3","2","2","10","Returning_Visitor","FALSE",0
0,0,0,0,5,187.5,0,0.04,0,0,"Dec","2","5","8","2","Returning_Visitor","TRUE",0
0,0,0,0,33,1035.083333,0.012121212,0.032323232,0,0,"Nov","2","10","1","3","Returning_Visitor","FALSE",0
0,0,0,0,1,0,0.2,0.2,0,0,"Mar","3","2","7","1","Returning_Visitor","FALSE",0
1,6,1,7,25,591.8928571,0,0.020833333,165.6204667,0,"May","1","1","8","4","Returning_Visitor","TRUE",1
1,26,0,0,16,638.8333333,0,0.0125,20.26155684,0,"Mar","2","4","2","2","New_Visitor","FALSE",0
7,89.5,0,0,26,1163.333333,0,0.009375,26.983125,0,"May","3","2","3","4","New_Visitor","FALSE",1
0,0,0,0,47,902.77,0.022222222,0.04037037,0,0,"Jul","3","2","8","1","Returning_Visitor","FALSE",0
0,0,0,0,5,1377.25,0.18,0.186666667,0,0,"Nov","3","2","6","1","Returning_Visitor","FALSE",0
