"id","CategoryI","CategoryI_Duration","CategoryII","CategoryII_Duration","CategoryIII","CategoryIII_Duration","Bounce_Rate","Exit_Rate","Page_Value","SpecialDay","Month","OS","Browser","Region","TrafficType","VisitorType","Weekend"
7830,8,259.2836478,2,12,53,1854.242845,0.0004329,0.015548371,22.22165124,0,"Nov","3","2","9","6","Returning_Visitor","FALSE"
792,4,56,1,88,22,1734.780952,0,0.010142857,0,0,"Mar","3","2","3","9","Returning_Visitor","TRUE"
12179,10,298.581761,0,0,210,8115.845852,0.008398675,0.030193184,0,0,"Nov","2","2","1","2","Returning_Visitor","FALSE"
1991,0,0,0,0,2,4,0,0.1,0,0,"Mar","2","2","4","1","Returning_Visitor","FALSE"
9669,5,64.58333333,0,0,36,1334.083333,0,0.005405405,0,0,"Nov","2","2","3","2","Returning_Visitor","FALSE"
4714,1,19.33333333,1,104,42,2724.008983,0.0065,0.021312784,0,0.4,"May","3","2","3","5","Returning_Visitor","FALSE"
9233,0,0,2,248.5,121,4218.074847,0.009985097,0.026514442,0.624510388,0,"Dec","2","2","1","2","Returning_Visitor","FALSE"
7714,5,125.1,2,34.6,25,887.75,0.013793103,0.023754789,0,0,"Aug","2","2","1","1","Returning_Visitor","TRUE"
8922,0,0,0,0,3,578,0,0.066666667,0,0,"Nov","1","1","1","1","Returning_Visitor","FALSE"
11900,0,0,0,0,10,146.9166667,0.06,0.085,0,0,"Nov","3","2","4","13","Returning_Visitor","TRUE"
2928,0,0,0,0,1,0,0.2,0.2,0,0.4,"May","2","4","6","6","Returning_Visitor","FALSE"
5501,0,0,0,0,2,12,0.1,0.1,0,0,"Sep","4","1","1","2","Returning_Visitor","FALSE"
1596,0,0,0,0,18,628.8333333,0,0.005555556,0,0,"Mar","1","1","2","2","Returning_Visitor","TRUE"
5616,5,56.8,0,0,3,27.2,0,0.033333333,0,0,"Nov","2","2","6","2","New_Visitor","FALSE"
7569,3,37.3,0,0,19,317.8,0.018181818,0.045454545,0,0,"Jul","2","2","7","4","Returning_Visitor","FALSE"
4470,0,0,0,0,5,276,0,0.04,0,0,"May","3","2","3","1","Returning_Visitor","TRUE"
8408,6,42,0,0,41,1074.333333,0,0.019047619,0,0,"Dec","2","2","7","3","Returning_Visitor","FALSE"
5255,0,0,0,0,26,2351.7,0.008,0.034666667,0,0,"May","2","6","8","3","Returning_Visitor","FALSE"
5483,3,33.2,0,0,10,278.4333333,0.007142857,0.026190476,32.70034468,0,"Jul","2","2","6","1","Returning_Visitor","FALSE"
218,0,0,0,0,35,1192.386111,0.005714286,0.028571429,0,0,"Mar","2","4","2","2","Returning_Visitor","FALSE"
9300,0,0,0,0,116,3184.815705,0.00015674,0.022635468,0,0,"Nov","2","2","1","10","Returning_Visitor","TRUE"
1342,1,7,7,141,25,1644,0.002150538,0.018817204,0,0,"Mar","2","4","1","10","Returning_Visitor","FALSE"
