Id,Predicted
7830,1
792,0
12179,0
1991,0
9669,0
4714,1
9233,0
7714,0
8922,1
11900,1
2928,0
5501,0
1596,1
5616,0
7569,1
4470,0
8408,1
5255,1
5483,1
218,1
9300,1
1342,1
1862,0
11325,1
6157,0
8987,1
7155,0
892,1
6858,1
8066,0
1267,1
2708,1
10327,0
10647,1
4353,0
10603,1
6338,0
11164,1
5339,1
8948,0
2415,0
5173,1
8904,0
3146,1
497,0
389,1
11717,0
1444,1
6698,0
8797,1
6606,0
2246,1
555,1
606,1
2546,0
6308,1
4375,1
9772,0
12237,1
3479,0
1605,0
6990,0
3871,1
2238,1
2124,0
1106,0
1402,1
4377,0
2328,1
8774,0
7733,0
10158,0
3002,1
9849,0
9321,1
3022,1
5617,1
10808,0
9202,0
7224,1
6199,0
10972,1
5664,1
8800,1
5520,0
9001,0
11159,1
2594,0
9592,0
118,1
5013,1
1627,1
3307,1
52,1
8369,1
9837,0
999,1
1020,1
608,0
531,0
10777,1
7589,1
3524,0
10322,1
10354,1
3592,1
3283,0
7688,1
60,0
5125,0
3560,0
6434,0
2231,0
7629,1
12225,0
10636,0
7055,0
3882,0
9827,1
4989,1
461,1
8736,1
9897,1
6277,1
9578,0
2112,1
222,1
12,0
5121,0
4083,0
3298,0
7512,0
3060,1
3271,0
2968,0
11632,1
5254,0
4515,0
6610,1
7621,1
2817,1
5737,1
7721,0
9601,0
3623,0
3764,0
11105,0
10004,1
5969,1
7712,0
6479,1
11494,1
10597,0
8122,1
936,0
7584,0
412,1
11730,0
4640,1
12311,0
962,1
7422,0
2141,1
11589,1
5467,0
4065,0
8471,1
1548,1
12147,1
4906,0
5818,0
252,1
8940,0
2250,1
3510,1
10577,0
7940,1
2372,0
5465,1
10389,1
5945,1
8735,1
5144,1
10744,1
1028,0
5596,1
1471,1
1225,1
9585,0
7807,1
2455,1
9020,1
3436,0
4307,0
1318,0
3584,0
8432,1
5965,0
10772,0
486,0
11978,1
8500,1
11060,0
2102,1
1229,0
8664,0
8112,1
2008,1
6985,0
7273,0
2308,1
5215,0
4666,0
971,1
10182,1
7571,1
12195,1
7553,1
199,0
4768,1
981,1
5645,1
7459,1
4796,1
5952,0
5615,0
10239,0
6676,0
2194,1
3604,0
10498,0
1981,0
5375,1
9433,1
3467,0
8712,1
3231,0
8417,1
4024,0
10466,0
145,1
12100,1
11172,0
9271,1
7915,1
10427,1
10872,1
6282,1
9755,1
9528,1
130,1
8873,0
9207,1
11111,0
11690,1
10068,0
2465,0
3916,1
4732,0
7850,0
9574,1
4519,0
9155,1
8144,0
10787,1
686,1
2171,0
5903,1
4511,0
10047,1
6519,0
9040,1
972,0
1431,0
10184,0
8699,1
5638,0
11290,1
7462,1
759,1
6400,1
1121,1
8243,0
4910,1
5566,1
6751,1
4172,1
2389,0
2992,1
6292,0
1385,1
11819,1
4351,0
8342,0
7141,0
11021,1
954,0
6289,1
1614,1
2998,1
8503,1
3160,1
5813,0
237,0
9330,0
3046,1
3751,1
4748,0
3433,0
11706,0
1678,1
6468,0
7975,1
9998,1
1891,1
3708,0
3500,0
9002,1
1351,0
7967,0
10981,0
9070,1
6905,0
9700,1
6523,1
11369,0
7086,1
7786,0
8236,1
5228,0
4036,1
8771,0
1085,0
8437,1
10497,0
4498,1
9635,1
528,1
6420,1
870,1
7774,0
737,1
8463,0
11124,0
9750,1
5214,1
5044,0
10224,1
11405,1
3406,0
6361,0
1136,1
468,0
1096,1
6111,1
10269,1
10978,0
6067,1
4942,0
8624,0
12109,1
6624,0
6098,0
11330,1
3014,1
5937,0
10309,0
8909,1
1462,1
9718,1
2977,0
11957,0
5049,0
915,1
1710,1
11240,1
7679,1
8541,0
4419,1
68,1
5074,0
7826,0
7244,0
3279,0
11702,1
4343,1
2240,1
12190,1
1936,0
5416,0
3222,0
3746,0
12178,1
4319,0
10393,1
3662,1
3266,0
9032,0
9937,1
7123,1
933,0
4765,1
8166,0
2663,0
3374,1
9266,0
745,1
3416,0
12310,0
5929,0
6787,1
359,0
6312,0
10480,1
12313,1
10936,0
10240,1
5679,0
6072,0
5769,1
7048,1
10103,0
3505,0
9362,0
7200,1
7570,1
2769,1
8121,0
9715,0
8459,1
10831,1
3006,1
6472,1
2106,1
12238,1
3894,1
690,1
2860,1
8348,0
4644,1
2733,1
10494,1
10880,1
12176,0
3024,1
10770,1
7176,0
7408,0
6951,1
6204,0
4223,0
2331,1
2881,1
1584,1
7992,1
3958,0
11528,0
11767,0
1182,1
1004,0
11471,0
4490,1
11995,0
4011,0
4887,0
1026,1
1288,1
7526,0
7218,0
3186,1
12327,1
9281,0
10529,0
9311,1
10233,0
623,1
3939,0
7494,1
434,1
4702,1
